Stride, Arraysize, Time per Access
1,8000,2.43222e-09
1,16000,2.38002e-09
1,32000,2.40518e-09
1,64000,2.41669e-09
2,8000,2.40502e-09
2,16000,2.42468e-09
2,32000,2.42037e-09
2,64000,2.40424e-09
4,8000,2.3502e-09
4,16000,2.4237e-09
4,32000,2.3829e-09
4,64000,2.39402e-09
8,8000,2.4136e-09
8,16000,2.48855e-09
8,32000,2.48605e-09
8,64000,2.48636e-09
16,8000,2.3738e-09
16,16000,2.5975e-09
16,32000,2.564e-09
16,64000,2.50337e-09
32,8000,2.5104e-09
32,16000,2.552e-09
32,32000,2.5117e-09
32,64000,2.592e-09
64,8000,2.4632e-09
64,16000,2.5244e-09
64,32000,2.437e-09
64,64000,2.6174e-09
128,8000,2.60806e-09
128,16000,2.6624e-09
128,32000,2.5172e-09
128,64000,2.5128e-09
256,8000,2.80645e-09
256,16000,2.71774e-09
256,32000,2.4432e-09
256,64000,2.5716e-09
